"Ano","Semestre","Cód. Disciplina","Cód. Turma","Alunos","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq"
2021,"1. Semestre","D320200","15",12,"B200380461148","315","Curso de Engenharia Aeroespacial",9,0,0,0,0,0,0
2021,"1. Semestre","D320200","15",12,"B320888200683","315","Curso de Engenharia Aeroespacial",9,0,0,0,0,0,0
2021,"1. Semestre","D320200","15",12,"B512402380642","315","Curso de Engenharia Aeroespacial",9,0,0,0,0,0,0
2021,"1. Semestre","D320200","15",12,"B888642512642","315","Curso de Engenharia Aeroespacial",9,0,0,0,0,0,0
2021,"1. Semestre","D320200","15",12,"B292200218320","315","Curso de Engenharia Aeroespacial",9,0,0,0,0,0,0
2021,"1. Semestre","D320200","15",1,"B200380461148","315","Curso de Engenharia Aeroespacial",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","15",1,"B320888200683","315","Curso de Engenharia Aeroespacial",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","15",1,"B512402380642","315","Curso de Engenharia Aeroespacial",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","15",1,"B888642512642","315","Curso de Engenharia Aeroespacial",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","15",1,"B292200218320","315","Curso de Engenharia Aeroespacial",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","15",1,"B461200642855","315","Curso de Engenharia Aeroespacial",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","15",9,"B200380461148","315","Curso de Engenharia Aeroespacial",0,0,7,0,0,0,0
2021,"1. Semestre","D320200","15",9,"B320888200683","315","Curso de Engenharia Aeroespacial",0,0,7,0,0,0,0
2021,"1. Semestre","D320200","15",9,"B512402380642","315","Curso de Engenharia Aeroespacial",0,0,7,0,0,0,0
2021,"1. Semestre","D320200","15",9,"B888642512642","315","Curso de Engenharia Aeroespacial",0,0,7,0,0,0,0
2021,"1. Semestre","D320200","15",9,"B292200218320","315","Curso de Engenharia Aeroespacial",0,0,7,0,0,0,0
2021,"1. Semestre","D320200","15",9,"B461200642855","315","Curso de Engenharia Aeroespacial",0,0,7,0,0,0,0
2021,"1. Semestre","D320200","16",1,"B461200642855","307","Ciência da Computação - Bacharelado",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","16",6,"B200380461148","307","Ciência da Computação - Bacharelado",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","16",6,"B320888200683","307","Ciência da Computação - Bacharelado",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","16",6,"B512402380642","307","Ciência da Computação - Bacharelado",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","16",6,"B888642512642","307","Ciência da Computação - Bacharelado",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","16",6,"B292200218320","307","Ciência da Computação - Bacharelado",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","16",6,"B461200642855","307","Ciência da Computação - Bacharelado",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","16",15,"B200380461148","307","Ciência da Computação - Bacharelado",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","16",15,"B320888200683","307","Ciência da Computação - Bacharelado",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","16",15,"B512402380642","307","Ciência da Computação - Bacharelado",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","16",15,"B888642512642","307","Ciência da Computação - Bacharelado",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","16",15,"B292200218320","307","Ciência da Computação - Bacharelado",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","16",15,"B461200642855","307","Ciência da Computação - Bacharelado",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","16",1,"B200380461148","307","Ciência da Computação - Bacharelado",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","16",1,"B320888200683","307","Ciência da Computação - Bacharelado",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","16",1,"B512402380642","307","Ciência da Computação - Bacharelado",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","16",1,"B888642512642","307","Ciência da Computação - Bacharelado",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","16",1,"B292200218320","307","Ciência da Computação - Bacharelado",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","17",9,"B200380461148","310","Curso Engenharia de Controle e Automação",4,0,0,0,0,0,0
2021,"1. Semestre","D320200","17",9,"B320888200683","310","Curso Engenharia de Controle e Automação",4,0,0,0,0,0,0
2021,"1. Semestre","D320200","17",9,"B512402380642","310","Curso Engenharia de Controle e Automação",4,0,0,0,0,0,0
2021,"1. Semestre","D320200","17",9,"B888642512642","310","Curso Engenharia de Controle e Automação",4,0,0,0,0,0,0
2021,"1. Semestre","D320200","17",9,"B292200218320","310","Curso Engenharia de Controle e Automação",4,0,0,0,0,0,0
2021,"1. Semestre","D320200","17",9,"B461200642855","310","Curso Engenharia de Controle e Automação",4,0,0,0,0,0,0
2021,"1. Semestre","D320200","17",2,"B200380461148","310","Curso Engenharia de Controle e Automação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","17",2,"B320888200683","310","Curso Engenharia de Controle e Automação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","17",2,"B512402380642","310","Curso Engenharia de Controle e Automação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","17",2,"B888642512642","310","Curso Engenharia de Controle e Automação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","17",2,"B292200218320","310","Curso Engenharia de Controle e Automação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","17",2,"B461200642855","310","Curso Engenharia de Controle e Automação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","17",26,"B200380461148","310","Curso Engenharia de Controle e Automação",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","17",26,"B320888200683","310","Curso Engenharia de Controle e Automação",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","17",26,"B512402380642","310","Curso Engenharia de Controle e Automação",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","17",26,"B888642512642","310","Curso Engenharia de Controle e Automação",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","17",26,"B292200218320","310","Curso Engenharia de Controle e Automação",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","17",26,"B461200642855","310","Curso Engenharia de Controle e Automação",0,0,11,0,0,0,0
2021,"1. Semestre","D320200","17",2,"B200380461148","310","Curso Engenharia de Controle e Automação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","17",2,"B320888200683","310","Curso Engenharia de Controle e Automação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","17",2,"B512402380642","310","Curso Engenharia de Controle e Automação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","17",2,"B888642512642","310","Curso Engenharia de Controle e Automação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","17",2,"B292200218320","310","Curso Engenharia de Controle e Automação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","17",2,"B461200642855","310","Curso Engenharia de Controle e Automação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","18",7,"B461200642855","311","Curso de Engenharia Acústica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","18",7,"B200380461148","311","Curso de Engenharia Acústica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","18",7,"B320888200683","311","Curso de Engenharia Acústica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","18",7,"B512402380642","311","Curso de Engenharia Acústica",3,0,0,0,0,0,0
